,Hyper-k_alpha_normal,Hyper-k_alpha_std_normal,Hyper-k_E_mean_normal,Hyper-k_E_mean_std_normal,Hyper-k_alpha_inverted,Hyper-k_alpha_std_inverted,Hyper-k_E_mean_inverted,Hyper-k_E_mean_std_inverted,Super-k_alpha_normal,Super-k_alpha_std_normal,Super-k_E_mean_normal,Super-k_E_mean_std_normal,Super-k_alpha_inverted,Super-k_alpha_std_inverted,Super-k_E_mean_inverted,Super-k_E_mean_std_inverted,DUNE_alpha_normal,DUNE_alpha_std_normal,DUNE_E_mean_normal,DUNE_E_mean_std_normal,DUNE_alpha_inverted,DUNE_alpha_std_inverted,DUNE_E_mean_inverted,DUNE_E_mean_std_inverted,JUNO_alpha_normal,JUNO_alpha_std_normal,JUNO_E_mean_normal,JUNO_E_mean_std_normal,JUNO_alpha_inverted,JUNO_alpha_std_inverted,JUNO_E_mean_inverted,JUNO_E_mean_std_inverted
74,1.2478443202501703,0.054805815080894854,9.984703713655106,0.12530426326260174,1.364061765511105,0.03477143844101712,10.446078349754192,0.07738617625362887,1.1799589623144053,0.0777924909629789,9.986013267359317,0.1859764026796294,1.3481080618598917,0.05909271833304996,10.557422532482997,0.13428184929586282,1.1088655748625416,0.15786960546775788,10.249166542309545,0.46737520494100193,0.9228597506524547,0.10373947869443054,9.64389028080353,0.32823628189216325,1.4893224159500922,0.07489711882761342,10.730021644048032,0.15669293394425868,1.7025771975536723,0.0762633354519625,11.332522945727453,0.14926170300250313
75,1.2310911124684967,0.04934659804927393,9.925419221298851,0.11335890478163119,1.4155543912683501,0.03909661634813388,10.540831773256388,0.0851004557957859,1.2374027247951611,0.07319096556162352,10.166822911532506,0.17163864779586283,1.4501357970238433,0.05314382870659608,10.775232048355079,0.1158921591741552,0.93564578416411,0.10430974885365209,9.787388897761065,0.3316973143287841,1.2739678801197936,0.1365548606480209,10.957815123685746,0.3884958130890537,1.5870464813871525,0.054818299078696515,11.015736107329447,0.11124828975783906,1.740715268635054,0.08368056593522315,11.348129143440248,0.1606460969878977
76,1.305642796413948,0.04821086453481826,10.13312690546236,0.10785284656835152,1.3300842153603694,0.03568248650178393,10.369690127665143,0.08049906125894198,1.4668473486152032,0.0641337370093344,10.62198179557535,0.13643693085332753,1.3669695089729004,0.048021790390700814,10.709623176365907,0.1094600647164596,0.7598657933858582,0.13077602085158474,9.235251310147566,0.44646092292329154,1.2365575351567704,0.11888927643835517,10.641066929678365,0.33664034957636735,1.4584239925224924,0.10014350321206109,10.855701761279443,0.2158281766628938,1.5771107110524238,0.07408728525929126,11.09022433861981,0.15221305885428196
77,1.23281310690318,0.05266428186502817,9.948002862958305,0.12112776494797745,1.4131525838250754,0.05588572680740492,10.478649328023623,0.12108067371188887,1.1694755602882876,0.08522596753679515,9.971533467881269,0.20486817485073475,1.4641153235387743,0.055112997139582676,10.770982282468228,0.1191387052277663,0.751044421401281,0.12015549512860449,9.16568625591529,0.4099890192719048,1.2742891750974044,0.11784380584378132,10.94236594675561,0.3347582170351783,1.7528174488289672,0.09400264636792113,11.35224905568203,0.1793559680195573,1.7628532505418189,0.07238960738546199,11.517353409061728,0.1393546379583666
78,1.2516525210272096,0.05562190972057226,9.982642900974161,0.12683056765652498,1.3872307157153838,0.03322288536113985,10.476349180185846,0.07311061256445496,1.3073202175982173,0.07606088362906532,10.18554705923555,0.1708820972203552,1.3453872688796062,0.051022284535396076,10.613817475568167,0.11677848552044733,0.9004730971903117,0.11948865601764247,9.680630895179208,0.3853391892793137,1.448775638197132,0.10566444940158427,11.219721902258781,0.277611662177094,1.3716156911558233,0.08711753994516253,10.576413265112915,0.19281782135656658,1.8543467488731862,0.08355704622533056,11.6118936971791,0.1545248908927317
79,1.2581890746689677,0.0507672764989578,10.003215500012407,0.11551848806890462,1.3575328526982406,0.044984913285617864,10.436875541734397,0.10043104262746078,1.4316112207844678,0.08174402860666005,10.537873900175196,0.17615932461134054,1.4462828371592058,0.055680745267441385,10.858778921969908,0.12267904372500045,0.7191613153164079,0.14404884592453288,9.087301159653947,0.49939246088325817,1.1043149579998124,0.126331892270301,10.365667671459086,0.3790685399707267,1.6377107458058935,0.0649498845756518,11.097623201803165,0.12904870170452798,1.5562530433605513,0.05619604513110722,11.143881598022457,0.11739695510225368
80,1.259345776906621,0.047207254286991955,10.045325427663759,0.10780310919672396,1.3354977239094137,0.050898998567178874,10.322308369154216,0.11390007517422505,1.2837284040876547,0.057515809957544406,10.170594173669432,0.1309689693609343,1.3929003458915454,0.060592418234446326,10.666877421252165,0.13537168052515255,0.97199401748018,0.1452274889889942,9.754269303448229,0.4491184661805025,0.837407973637621,0.09714769733585704,9.540610022787376,0.32312181448924066,1.5041678670338774,0.07334744204555814,10.946647568102208,0.15515230936580438,1.6564310573802166,0.08114834629754136,11.26319159527663,0.16191696290071803
81,1.3049155495741103,0.04438021468562949,10.133449417769699,0.09933220342131761,1.3617600634847362,0.0468863358070415,10.409833653030965,0.10412349180314262,1.3616194367894878,0.0475501722119432,10.434310944911203,0.10586297630764614,1.4598076784521694,0.07775059439277275,10.871059281478457,0.17012332106469644,1.1467179894721917,0.1472948148668369,10.418671073147726,0.4322954093371504,1.398893414099469,0.1444112439067621,11.058778381367599,0.38511240050909595,1.595239173380087,0.09223527532671459,10.993855277263123,0.1859508447474257,1.4680410186474884,0.055835062485191704,11.01089630714751,0.12134002010311301
82,1.2404047510794725,0.05165601248031828,9.961857726675433,0.11839373602877147,1.4252249583534735,0.041241943570785145,10.561970660666733,0.0894307758373002,1.298216804062537,0.0675952556871495,10.261420865337373,0.1539127281062456,1.3302344525524334,0.042649612416453445,10.611730758073776,0.0985226815382104,0.8993027525920682,0.13216612675374365,9.704890062117364,0.42756937446403087,1.1801671392859117,0.113383878638575,10.41584216588639,0.3258091240318216,1.592916527821305,0.09094535098920707,10.927115537211575,0.1824915995396267,1.654284532850851,0.0782280655418647,11.306162273093054,0.15686526359602362
83,1.2996020679697797,0.05292796806193594,10.083030790208953,0.11825381329543962,1.378422250470291,0.042093160080578305,10.452190316035994,0.09291137987893183,1.2833986238155115,0.07057072286866074,10.241974863226506,0.16189206318154717,1.5589306657364457,0.05492362472060991,11.154269380126642,0.1164473715558975,0.7654566392159177,0.11923420389384803,9.218303759481172,0.40467784975218657,1.1557647489776928,0.13391336437293308,10.586541045901608,0.396662746911769,1.6344271390977825,0.08131824050119485,11.117989602761249,0.1621603814586016,1.5314812689816513,0.07724207582730278,11.106958160860154,0.1631445788978741
