,Hyper-k_alpha_inverted,Hyper-k_alpha_std_inverted,Hyper-k_E_mean_inverted,Hyper-k_E_mean_std_inverted,Super-k_alpha_normal,Super-k_alpha_std_normal,Super-k_E_mean_normal,Super-k_E_mean_std_normal,Super-k_alpha_inverted,Super-k_alpha_std_inverted,Super-k_E_mean_inverted,Super-k_E_mean_std_inverted,DUNE_alpha_normal,DUNE_alpha_std_normal,DUNE_E_mean_normal,DUNE_E_mean_std_normal,DUNE_alpha_inverted,DUNE_alpha_std_inverted,DUNE_E_mean_inverted,DUNE_E_mean_std_inverted,JUNO_alpha_normal,JUNO_alpha_std_normal,JUNO_E_mean_normal,JUNO_E_mean_std_normal,JUNO_alpha_inverted,JUNO_alpha_std_inverted,JUNO_E_mean_inverted,JUNO_E_mean_std_inverted,Hyper-k_alpha_normal,Hyper-k_alpha_std_normal,Hyper-k_E_mean_normal,Hyper-k_E_mean_std_normal
304,1.1153056621937576,0.192455266156148,9.932486782697852,0.47938032436231875,1.0130670958622594,0.18673529309219827,9.813245468602178,0.49374396902689965,0.9549042375918134,0.16522441030480722,9.678544950299647,0.4495373566883896,1.1959076895909853,0.1854528405733669,10.857820886597315,0.5359729945914575,1.1941457943278422,0.08784445274305984,10.815031489305673,0.25324027108930186,1.5686364458135738,0.09260887634740592,10.986543737770397,0.18939570518099438,1.7001560022652766,0.0571728993880762,11.421388350488433,0.11290354673561752,0.9853434200492786,0.2020004506036206,9.477174606469266,0.5268758062476208
305,1.094159196744975,0.18020822140800924,9.937260803729954,0.45565931678273847,1.1328607106147757,0.2049567613182543,9.977408958811967,0.5066589394837274,0.9238133310011918,0.17269913373851775,9.652334518055726,0.4794749604207009,1.2856667211187662,0.11315085690263306,11.055657527900992,0.31475838077092516,1.4826066441766779,0.08639137198938089,11.492537356619497,0.22214506483626117,1.7346227964538705,0.07452321718150108,11.307161269524498,0.14300899705719308,1.7757363675908548,0.06454134087657365,11.520070867066359,0.1234120939786332,1.078740904901639,0.21230668024676114,9.683333507094567,0.5291859249175731
306,1.1354276644418644,0.19057813070736104,10.052829796899074,0.47375716940465806,1.0629004825634802,0.1935288066748203,9.84808611060205,0.49572411385648235,1.1545861971040685,0.17200102259248382,10.215946690947797,0.42877466951244986,1.3998999657112967,0.10054304597361838,11.360873470439277,0.2681184352339636,1.4554391550539918,0.12000960182112948,11.356631224736939,0.3099681411309648,1.529109866548356,0.08202624439719826,10.822088809745706,0.16906892806924104,1.7337351345564314,0.08048284461489441,11.303880748821449,0.15447510368782055,0.9857418554787564,0.2082160204807389,9.50517442610293,0.5444615336897293
307,1.1226942059734821,0.17997541675254558,9.998861713003706,0.4489344147609325,1.1707187644506054,0.1942350563791039,10.173386380045251,0.47701426569199457,1.3245961860537196,0.21081707909186517,10.61368759132262,0.4883833246007949,1.5470038510328994,0.12881688159704816,11.705261797268399,0.32501585106859876,1.973955477187543,0.16886193040579867,12.684306184913309,0.36819586599803733,1.494966713131695,0.0656142475621531,10.821876435912603,0.1379522672213391,1.5909081749555525,0.07048779490626678,11.183673806648466,0.14486651454837846,0.9161022777219954,0.20867244375568514,9.301517434744552,0.562388839305454
308,1.1006397587136085,0.1916876826824464,9.921198522897638,0.4817673947958607,1.111023339645339,0.19541327615809184,9.992412312246548,0.4910425735602608,1.1564120695000781,0.14948533780577702,10.30744226862993,0.37547184365600506,1.3527523554267114,0.096030125864101,11.417568030993296,0.2643776878754898,1.1878964328610169,0.10575998250408293,10.796658787566862,0.3055975580688297,1.6938727248457475,0.07904779065527266,11.096546984163663,0.1522307118924681,1.742624744583457,0.0713250030465921,11.443193712721488,0.13790541763643513,0.9826228808197309,0.20862288011508265,9.47671796351446,0.54519048740498
309,1.1662132283889852,0.185887520834534,10.085271130403674,0.4540123900666969,1.0656856658576486,0.18560037513221028,9.72453579418438,0.46874508614740257,1.239334581428764,0.16973088399358038,10.402906486814539,0.40717934508901504,1.3998018269425,0.09404531465304997,11.284215884272998,0.24926731718553294,1.319708019674794,0.17806397277623243,11.292110610198584,0.4948420720816211,1.5688495156779594,0.07343468529923948,10.916084928759517,0.1492128769642276,1.9558231884118087,0.05906088663895015,11.845031773082354,0.10575536148321595,0.9336908137966126,0.19425732360144154,9.339277402174117,0.5187839347015346
310,1.0997973875959353,0.18008429855011754,9.949399704291942,0.45411784855859155,1.194617050558644,0.2089525091005291,10.011291548593329,0.49717465844130465,1.178493014445133,0.16994583825491377,10.31423362836868,0.4208537546887272,1.458362722542947,0.1531361357595932,11.447348365023759,0.397737735580288,1.215448710031297,0.15126646918268918,10.700309860787701,0.42621878696829296,1.6018586248452662,0.08104287412009066,11.070554148455123,0.16387625325928384,1.7830588578505464,0.07209819890149877,11.482604072628002,0.13688345876371857,0.9593328920931192,0.19927595582872581,9.428602668970978,0.5270533580315891
311,1.0968047892315795,0.17956046914039925,9.947451190091233,0.45364532482406233,1.0858417898869743,0.22297773630300677,9.848043133727376,0.5621158924765249,0.9539537697286988,0.1818398109399678,9.74690960355527,0.49846680919155745,1.3469729312149112,0.13589711283968856,11.449880039141238,0.37637139386824275,1.709123299770018,0.160615495581484,11.944458431575981,0.3785941372652338,1.5939932026927037,0.07479391798621038,11.071056719266007,0.15192051818017052,1.7356418596080778,0.06349503668142352,11.392462040395658,0.12268828580258567,1.0068471213793142,0.19252502374679947,9.514432940818898,0.4963395209383796
312,1.0461101197776215,0.1846173607237017,9.804786046531934,0.4764592620441665,0.751123403515201,0.1785385265076354,9.057524505223755,0.5325324590275289,1.0509206347407771,0.15432661232428557,10.096114248665648,0.4084202249381481,1.3449278093824923,0.08288159333273962,11.124809931108697,0.2238715437780959,1.3555027968260374,0.11246914608804344,11.070201730857878,0.30057209334238005,1.39345941178363,0.07428118472352133,10.566145862626225,0.16204840020453795,1.6892364880775201,0.07371307826185726,11.34744905452955,0.14549991268971127,0.8971415490522548,0.19822049957140425,9.210923729954576,0.5368021709412433
313,1.077938432440619,0.178597986220115,9.886182876266105,0.45440906911987683,1.1466946732252026,0.1840694597002789,10.079232381907214,0.45525974255872764,1.1331595446666605,0.16387527246776232,10.163375439198896,0.412396803207988,2.130660390702157,0.134916454907725,13.028517920485958,0.27997406967715843,1.366646906770226,0.08894517692906363,11.144367400040016,0.2376035574831187,1.510676846828981,0.0742695839212167,10.72471249555427,0.1533535668708844,1.694823949472212,0.06301381150514321,11.320181729190281,0.12370627344620178,0.9695372998552871,0.19607229621806782,9.45650905407448,0.5162057204720655
