,Distances,Mean N normal,Mean N inverted,SD N normal,SD N inverted
0,0.1,604480063.3666667,633082785.9,22285.739927112336,24894.015686974515
1,3.0,671501.0333333333,703593.7333333333,911.454788907394,635.4641837970798
2,5.0,241780.73333333334,253129.36666666667,540.1982928106637,559.1957607930241
3,7.0,123355.06666666667,129337.56666666667,404.04207151676115,331.62053448013273
4,9.0,74621.16666666667,78151.53333333334,246.65091165901296,259.05401410173556
5,11.0,49917.8,52281.53333333333,258.9248797109566,213.4014578727667
6,13.0,35674.96666666667,37474.86666666667,159.8556605886142,139.61512175341974
7,15.0,26844.433333333334,28165.633333333335,157.96300903129892,171.68993046251205
8,17.0,20909.033333333333,21900.4,115.58791267064024,153.58441761237802
9,19.0,16751.233333333334,17537.766666666666,130.1111533352242,147.8250505007712
10,21.0,13705.766666666666,14390.7,139.97968503401563,134.7474551398529
11,23.0,11414.466666666667,11954.233333333334,105.44911358354585,106.18244780669836
12,25.0,9669.2,10165.966666666667,81.41719720059147,91.37194439335425
13,27.0,8276.466666666667,8677.133333333333,84.58870426297408,94.85734318204129
14,29.0,7184.966666666666,7537.433333333333,83.28164396925784,101.82654641867981
15,31.0,6310.8,6594.666666666667,90.24463049585462,93.07714840687566
16,33.0,5560.866666666667,5839.233333333334,78.38483413404803,70.03031883088606
17,35.0,4948.966666666666,5172.7,74.35432439041831,54.21817038595088
18,37.0,4404.7,4619.266666666666,62.30363820302417,51.616491765929055
19,39.0,3952.9,4175.766666666666,64.25436431351051,64.1823876845423
20,41.0,3586.133333333333,3763.0333333333333,67.18071813317337,76.62875149417192
21,43.0,3262.133333333333,3418.733333333333,48.776861545431785,55.11136200659735
22,45.0,2971.233333333333,3125.233333333333,43.83277566185174,48.067787781655
23,47.0,2731.766666666667,2885.3,52.29638823305317,55.506846424562795
24,49.0,2510.4666666666667,2631.0,47.40796932537351,65.38399396386448
25,51.0,2326.366666666667,2431.733333333333,51.70202016255157,41.825776209839255
26,53.0,2154.4666666666667,2246.233333333333,40.9412044549525,46.03309196171332
27,55.0,1994.4333333333334,2095.6666666666665,46.466248204715455,32.73462319250911
28,57.0,1873.9,1950.1333333333334,48.16039174812985,36.85623722278527
29,59.0,1749.8333333333333,1805.8666666666666,52.880420657261126,39.38589708117474
30,61.0,1618.1,1689.3666666666666,40.67378353026267,34.90127345655011
31,63.0,1525.6666666666667,1596.7666666666667,32.23800379813999,38.838712073851724
32,65.0,1448.0333333333333,1504.3666666666666,36.467778776460854,32.03798093235937
33,67.0,1337.6,1409.7666666666667,41.09468741009394,41.99974867649673
34,69.0,1271.2333333333333,1332.5666666666666,31.822092256097104,33.933939090860385
35,71.0,1195.3333333333333,1249.8333333333333,28.219772422107795,29.640156694742505
36,73.0,1129.8,1191.8666666666666,36.47044465499884,31.40672256416168
37,75.0,1080.8333333333333,1136.7333333333333,38.16724890385589,29.275625052630765
38,77.0,1028.1666666666667,1077.4666666666667,36.199524244878624,28.765411328345174
39,79.0,967.8666666666667,1026.5,28.296917774831158,35.758215839160655
40,81.0,917.1666666666666,960.3333333333334,34.09895729914463,36.93086634360057
41,83.0,876.3333333333334,923.4333333333333,24.536141143672577,23.492812139508164
42,85.0,840.2666666666667,876.4,27.410379218261262,28.044726182772166
43,87.0,791.7333333333333,837.7,23.312276212807323,28.99902297204741
44,89.0,754.3333333333334,801.4,31.016483073072973,29.017925494424993
45,91.0,727.4333333333333,775.6,26.74282873760532,28.935099792466588
46,93.0,698.4,726.0,28.48110484748324,24.532971011817274
47,95.0,671.9,693.9,28.7869762218959,24.736410410566847
48,97.0,649.0333333333333,670.9333333333333,22.321116061304423,23.085252627790084
49,99.0,612.9666666666667,650.6,22.67227871701965,23.529555881911584
